Олерон (Оіегоп), остров
Олонецкая губерния (край)
Олонецкий уезд
Огайо (США)
Оренбургский край
Памир
Омская губерния
Остзейский край
Пензенская губерния
Пенсильвания (США)
Пермская губерния
Полтавская губерния
Псковская губерния
Рязанская губерния
Самарская губерния
Саратовская губерния
Смоленская губерния
Симбирская губерния
Ставропольская губерния
Тамбовская губерния
Тульская губерния
Томская губерния
Тобольская губерния
Тифлисская губерния
Тверская губерния
Херсонская губерния
Харьковская губерния
Уфимская губерния
Черниговская губерния
Эриванская губерния
Вологодская губерния
Владимирская губерния
Витебская губерния
Воронежская губерния
Гродненская губерния
Вятская губерния
Елисаветпольская губерния
Енисейская губерния
Екатеринославская губерния
Калужская губерния
Иркутская губерния
Архангельская губерния
Киевская губерния
Кутаисская губерния
Курская губерния
Новгородская губерния
Нижегородская губерния
Московская губерния
Могилевская губерния
Ольденбургское герцогство
Панамский перешеек
Оненские прииски
Патагония (Аргентина)
Пиренеи
Полинезия
Приамурский край
Прибалтийский край
Приморская область
Пятигорский округ
Саксонская Швейцария
Атлантический океан
Африка
Лотарингия
Мадагаскар
Маврикия
Малороссия
Маньчжурия
Манилья, остров (Филиппинские о-ва)
Балканский полуостров
Балтийское море
Моравия
Месопотамия
Крым
Массачусетс (штат в США)
Рим (Римская империя)
Соловецкие острова (Соловки)
Средиземное море
Средняя Азия
Черное море
Швабия
Чечня (Большая и Малая)
Абхазия
Кавказ
Камчатка
Канзас
Капри
Кипр
Индо-Китай
Индостан
Европа
Екатеринбургский 
Воронежский уезд
Брянский уезд
Тульский уезд
Гавайские острова
Алеутские острова
Гренландия
Амурский край
Дагестан
Сахалин
Сахара
Северное море (Немецкое море)
Сибирь — 6; 226;
Сицилия
Скифия
Заанская долина (Швейцария)
Валэ, долина (Швейцария)
Суматра, остров
Суэцкий канал
Бессарабия
Техас (США)
Тибет
Тихий океан
Тургайская область
Туркестан
Туркестан (китайский)
Азия
Урал (Уральские горы)
Ферганская область
Азовское море
Фиджи, острова
Финский залив
Шлезвиг-Голштиния (Пруссия)
Ява
Яй-губа, залив
Якутская область
Японское море
Большая Чечня
Босния
Бретань
Бургундия
Ваадский кантон (Pays de Vaud, Швейцария)
Валаам, остров (Ладожское озеро)
Курляндия
Баденское герцогство (Южная Германия)
Верхняя Силезия
Абиссиния
Галилея (Палестина)
Галиция
Гибралтар
Америка
Америка Южная
Дальний Восток
Андалузия
Андийский хребет
Денвер (США)
Донецкий округ
Донская область
Закавказский край (Закавказье)
Закаспийский край
Заонежье
Западная Сибирь
Западный край
Запорожье
Аравия
Калифорния
Колорадо (США)
Арканзас
Кордильеры
Крит, остров
Пирмонт (Германия)
Савойя
Нормандия
Папская область(Италия)
Южная Америка
Борнео
Вест-Индия
Военно-Грузинская дорога
Муттенская долина
Байдарская долина
Киргиз-Кайсацкая степь (Средняя Азия)
Козловский уезд Тамбовской губ.
Крестецкий уезд Новгородской губ.
Ахалкалахский уезд Тифлисской губ.
Одоевский уезд Тульской губ.
Бобровский уезд Воронежской губ.
Михайловский уезд Рязанской губ.
Моршанский уезд Тамбовской губ.
Николаевский уезд Херсонской губ.
Лебедяньский уезд Тамбовской губ.
Мамадышский уезд Казанской губ.
Клинский уезд Московской губ.
Новосильский уезд Тульской губ.
Лукояновский уезд Нижегородской губ.
Сумской уезд Харьковской губ.
Миргородский уезд Полтавской губ.
Епифанский уезд Тульской губ.
Елисаветградский уезд Херсонской губ.
Цивильский уезд Казанской губ.
Шушинский уезд Елизаветпольской губ.
Белевский уезд Тульской губ.
Тионетский уезд Тифлисской губ.
Дедилов уезд Тульской губ.
Сигнахекий уезд Тифлисской губ.
Землянский уезд Воронежской губ.
Ефремовский уезд Тульской губ.
Ряжский уезд Рязанской губ.
Суджанский уезд Курской губ.
Каширский уезд Тульской губ.
Елецкий уезд Орловской губ.
Чернский уезд Тульской губ.
Царевококшайский уезд Казанской губ.
Богородицкий уезд Тульской губ.
Краснослободский уезд Пензенской губ.
Алексинский уезд Тульской губ.
Ладожский уезд Петербургской губ.
Зарайский уезд Рязанской губ.
Мценский уезд Орловской губ.
Крапивенский уезд Тульской губ.
Бузулукский уезд Самарской губ.
Скопинский уезд Рязанской губ.
Веневский уезд Тульской губ.
Котельнический уезд Вятской губ.
Данковский уезд Рязанской губ.
Семеновский уезд Нижегородской губ.
Чердынский уезд Пермской губ.
Мосальский уезд Калужской губ.
Копорский уезд С.-Петербургской губ.
Раненбургский уезд Рязанской губ.
Васильковский уезд Киевской губ.
Осташковский. уезд Тверской губ.
Нижнедевицкий уезд Воронежской губ.
Душетский уезд Тифлисской губ.
Пошехонский уезд Ярославской губ.
Новоторжский уезд Тверской губ.
Алаторский уезд Симбирской губ.
