«Современное слово», журнал
«Душеполезное чтение», журнал
«Южный край», газета
«Русский мир», газета
«Русский инвалид», газета
«Ясная Поляна», журнал
«Свободное слово», журнал
«Исторический вестник», журнал
«Учитель», журнал
«Правительственный вестник», газета
«Земледельческая газета»
«Былое», журнал
«Современные известия», газета
«Современное слово», газета
«Современник», журнал
«Современная летопись», журнал
«Современный мир», журнал
«Русское богатство», журнал
«Воспитание», журнал
«Воспитание и обучение», журнал
«Русская старина», журнал
«Отечественные записки», журнал
«Петербургская газета»
«Нива», журнал
«Нива золотая», журнал
«Устои», журнал
«Народная беседа», журнал
«Природа», журнал
«Санкт-Петербургские ведомости», газета
«Слово», газета
«Новости», газета
«Новости дня», газета
«Новый путь», журнал
«Русские ведомости», газета
«Русский вестник», журнал
«Русский архив», журнал
«Русский труд», газета
«Русский рабочий», журнал
«Сельский вестник», газета
«Дневник русского актера», — журнал
«Вопросы жизни», журнал
«Вопросы философии и психологии», журнал
«Тульские епархиальные ведомости», газета
«Тульские губернские ведомости», газета
«Новое время», газета
«Семейные вечера», журнал
«Московский листок», газета
«Будильник», журнал
«Сибирь», газета
«Полтавщина», газета
«Мир искусства», журнал
«Грамотей», журнал
«Странник», журнал
«Речь», газета
«Орел», журнал
«Против течения», газета
«Против течения», журнал
«Великий океан», газета
«Жизнь для всех», журнал
«Жизнь», газета
«Жизнь», журнал
«Столичное утро», газета
«Беседа», журнал
«Сын отечества», газета
«Образование», журнал
«Свет», журнал
«День», газета И. С. Аксакова
«Живописное обозрение», журнал
«Камер-фурьерский журнал»
«Научное слово», журнал
«Детский отдых», журнал
«Детское чтение», журнал
«Детская помощь», журнал
«Детский журнал»
«Вегетарианское обозрение», журнал
«Новая Русь» («Русь»), газета
«Север», журнал
«Освобождение», журнал
«Голос», журнал
«Голос» (газета А. А. Краевского)
«Голос», газета (изд. 1906 г.)
«Голос Москвы», газета
«Врач», газета
«Южная жизнь», газета
Адлер (П. Ольберг) («журналист из Финляндии»)
«Защита человека», журнал
«Юношеский журнал»
«Родник», журнал
«Родная Русь», журнал
П. Б., «Русская литература, журналы»
«Русь», газета
«Русское слово», журнал
«Русское обозрение», журнал
«Русское слово», газета
«Русское дело», газета
«Русское знамя», газета
«Кругозор», журнал
«Обновленный человек», газета
«Вестник теософии», журнал
«Вестник Европы», журнал
«Вестник Европы» («Европейский вестник»), журнал Н. М. Карамзина
«Вестник воспитания», журнал
«Харьковский листок», газета
«Справочный листок», газета
«Древняя и новая Россия», журнал
«Парус», газета
«Вечерний досуг», журнал
«Консерватор», газета
«Восточное обозрение», газета
«Елисаветградские новости», газета
«Утренний свет», журнал
«Колосья», журнал
«Народное чтение», журнал
«Народная молва», газета
«Народный журнал»
«Семья и школа», журнал
«Заря», журнал
«Библиотека для чтения», журнал
«Правда жизни», газета
«Православное обозрение», журнал
«Русская речь», журнал
«Русская беседа», журнал
«Русская мысль», журнал
«Маяк», журнал
«Мир божий», журнал
«Минувшие годы», журнал
«Биржевые ведомости», газета
«Дело», журнал
«Утро», журнал (не разрешенный к выходу)
«Утро России», газета
«Солнышко», журнал
«Солдатская беседа», журнал
«Время», журнал
«Гирлянда», журнал
«Варшавская газета»
«Варшавский дневник», газета
«Либавские новости и торгово-промышленная газета»
«Киевские вести», газета
«Неделя», газета
«Царь Колокол», журнал
«Полярная звезда», журнал Герцена
«Колокол», газета А. И. Герцена
«Час», газета
«Гражданин», газета
Прутановский К., «Выписка из путевого журнала»
«Кавказ», газета
«Деятель», журнал
«Звезда», журнал
«Звездочка», журнал
«Блюститель здравия и хозяйства», журнал
«Братский листок» (журнал П. А. Буланже)
«Сын отечества», журнал
«Домашняя беседа», газета
«Наука и жизнь», журнал
«Художественный журнал»
«Пантеон литературы», журнал
«Свободный труд», газета
«Свободное воспитание», журнал
«Свободная мысль», журнал
«Раннее утро», газета
«Всемирная иллюстрация» («Иллюстрация»), журнал
«Всемирный вестник», журнал
«Архив психиатрии, нейрологии и судебной психопатологии», журнал
«Архив Л. Н. Толстого», рукописный журнал
«Северный курьер», газета
«Северная пчела», газета
«Северный вестник», журнал
«Възраждане», болгарский журнал и издательство
«Сотрудник», журнал
«Курьер», газета
«Наше время», газета
