Алексеевка Тульской губ.
Алексеевка Самарской губ.
Алексеевское (Землянки) Самарской губ.
Алексеевское Тульской губ.
Спасское Московской губ.
Спасское Тифлисской губ.
Куроедово Тульской губ.
Плоховка Тульской губ.
Тень-грусть Тульской губ.
Супоновская волость Тульской губ.
Горюшино Тульской губ.
Горяевка Тульской губ.
Дрисса Витебской губ.
Сухая Локна Тульской губ.
Павел Иванович (из Воронежской губ.)
Никитское Тульской губ.
Бузулук Самарской губ.
Бородино Московской губ.
Бородино Тульской губ.
Боровск Калужской губ.
Медвежий Верх Тульской губ.
Медное Тверской губ.
Синельниково Екатеринославской губ.
Рахмановские хутора Тульской губ.
Обдорск Тобольской губ.
Обидимо Тульской губ.
Ясенковская (Ясенецкая) волость Тульской губ.
Городни (Городня) Тульской губ.
Спешнево Рязанской губ.
Вавилов П. (из Нижегородской губ.)
Воины Орловской губ.
Охотино Владимирской губ.
Катараево Рязанской губ.
Парецкая волость Симбирской губ.
Мещерки Тульской губ.
Мешково Тульской губ. (Мешковка)
Щекино Тульской губ.
Щелкуновка Тульской губ.
Попова слобода Тульской губ.
Острогожск Воронежской губ.
Александровская слобода Рязанской губ.
Александровка Рязанской губ.
Александровка (Протасово) Тульской губ.
Александрово Рязанской губ.
Землянки Самарской губ.
Ахалкалахский уезд Тифлисской губ.
Ахтырка Харьковской губ.
Потемкино Тульской губ.
Крестецкий уезд Новгородской губ.
Крекшино Московской губ.
Кременчуг Полтавской губ.
Воскресенское Нижегородской губ.
Черемошня Рязанской губ.
Богдановка Самарской губ.
Воздремы Тульской губ.
Воейково Рязанской губ.
Нижний-Ломов Пензенской губ.
Нижнедевицкий уезд Воронежской губ.
Бабошино Тульской губ.
Мещерское Московской губ.
Шилово Нижегородской губ.
Подточное Тульской губ.
Устье Тульской губ.
Усть-Цыльма Архангельской губ.
Киркино Рязанской губ.
Гришкино Самарской губ.
Колпна Тульской губ.
Колтовая Рязанской губ.
Рвы Тульской губ.
Чапкино Орловской губ.
Соковнинка Саратовской губ.
Лужни Курской губ.
Безобразовские хутора Тульской губ.
Телятинки Тульской губ.
Хохловка Тульской губ.
Душетский уезд Тифлисской губ.
Вяземы Московской губ.
Дятьково Орловской губ.
Пришня Тульской губ.
Паники Рязанской губ.
Алаторский уезд Симбирской губ.
Молоденки Тульской губ.
Волковское Казанской губ.
Кашира Тульской губ.
Туруханск Енисейской губ.
Старая Колпна Тульской губ.
Становое Тульской губ.
Никольское Тульской губ.
Лазарево Тульской губ.
Макаровы (крестьяне с. Гавриловки Самарской губ.)
Коломна Московской губ.
Новый Иерусалим Московской губ. (Воскресенск)
Новоторжский уезд Тверской губ.
Горелая Поляна Тульской губ.
Горки Тульской губ.
Горки Московской губ.
Меленино Тульской губ.
Озерки Тульской губ.
Миловка Рязанской губ.
Красные Дворы Тульской губ.
Красный Смоленской губ.
Благодатное (Благодатная) Тульской губ.
Крутенская волость Тульской губ.
Иванов И. (крестьянин Новгородской губ.)
Дворики Тульской губ.
Починки Тульской губ.
Пошехонский уезд Ярославской губ.
Шайтанский завод Пермской губ.
Синявино (Спасское) Тульской губ.
Шаболовка Самарской губ.
Корнеевка Самарской губ.
Подольск Московской губ.
Подмоклое Тульской губ.
Подлипки Московской губ.
Пашково Тульской губ.
Сухотино Тульской губ.
Бегичевка Рязанской губ.
Лысые Горы Московской губ.
Грумант (Грумы, Угрюмы) Тульской губ.
Бугровка Рязанской губ.
Толстой С. (из Симбирской губ.)
Пятово Тульской губ.
Дмитровское Калужской губ.
Дмитровка Самарской губ.
Дмитровка Рязанской губ.
Дмитров Московской губ.
Барановские хутора Тульской губ.
Одоевский уезд Тульской губ.
Бобровский уезд Воронежской губ.
Янишки Виленской губ.
Подываньково Тульской губ.
Сафоново Московской губ.
Глинки Тульской губ.
Скра Кутаисской губ.
Богородское Рязанской губ.
Хотуш Тульской губ.
Бобровка Самарской губ.
Суры Тульской губ.
Грязновка Тульской губ.
Губаревка (Большая и Малая) Орловской губ. —29: 216, 218;
Треханетово Тульской губ.
Сумбулово Тульской губ.
Михайловский уезд Рязанской губ.
Звенигород Московской губ.
Моршанский уезд Тамбовской губ.
Ломцы Тульской губ.
Деменка Тульской губ.
Иван (из Ярославской губ.)
Князьково Московской губ.
Ново-Покровская волость Тульской губ.
Каралык Самарской губ.
Покровское Смоленской губ.
Покровское Тульской губ.
Покровская слобода Самарской губ.
Покровское Московской губ.
Варварка Тульской губ.
Николаевский уезд Херсонской губ.
Протасово Орловской губ.
Красная Пахра Московской губ.
Красное Село С.-Петербургской губ.
Шевыревка Тульской губ.
Клешна Тульской губ.
Коротояк Воронежской губ.
Максютово Самарской губ.
Мостовая Тульской губ.
Антоновка («другая») Самарской губ.
Антоновка Самарской губ.
Белосток Гродненской губ.
Кобылино Владимирской губ.
Лебедянь Тамбовской губ.
Лебедяньский уезд Тамбовской губ.
Грецовка Тульской губ.
Хатунка Тульской губ.
Переволокская волость Тульской губ.
Перекоп Таврической губ.
Перемышль Калужской губ.
Русаново Тульской губ.
Стерлибашево Уфимской губ.
Степановка Курской губ. — 60; 388;
Сокольниково Тульской губ.
Угрюмы Тульской губ.
Сенаки Кутаисской губ.
Корчева Тверской губ.
Пудож Олонецкой губ.
Золотухино Тульской губ.
Зинково Тульской губ.
Лукояновский уезд Нижегородской губ.
Шелковка Московской губ.
Нежин Черниговской губ.
Стрешнево Тульской губ.
Стрелецкая слобода Тульской губ.
Тимирязево Тульской губ.
Воробьевка Курской губ.
Воробьевка Тульской губ.
Новосиль Тульской губ.
Новосильский уезд Тульской губ.
Гаи Рязанской губ.
Клинский уезд Московской губ.
Грековка Самарской губ. —17: 63;
Гремячево Тульской губ.
Мамадышский уезд Казанской губ.
Мамадыш Казанской губ.
Лаврентьевка Самарской губ.
Полотняные Заводы Калужской губ.
Полонное Волынской губ.
Кикино Рязанской губ.
Скуратово Тульской губ.
Кочеты Тульской губ.
Сумской уезд Харьковской губ.
Сумы Харьковской губ.
Варятино (Барятинки) Тульской губ.
Прудки Рязанской губ.
Иконки Тульской губ.
Измайловка Рязанской губ.
Бирск Уфимской губ.
Семеновское Московской губ.
Щепино Тульской губ.
Муравлянка Рязанской губ.
Миргородский уезд Полтавской губ.
«Странствователь по Прибалтийском крае: С.-Петербургская губ.»
Зубцево Московской губ.
Гриднево Московской губ.
Озерки Рязанской губ.
Шаламовка Тульской губ.
Донские озерки Тульской губ.
Речки Харьковской губ.
Ржавы Тульской губ.
Кукуевка Воронежской губ.
Кукуево (Кукуевка) Орловской губ.
Свенцяны Виленской губ.
Руденка Рязанской губ.
Оптина пустынь Калужской губ.
Протасово Тульской губ.
Писаревка Рязанской губ.
Бредихино Тульской губ.
Балта Подольской губ.
Еремино Владимирской губ.
Извеково Московской губ.
Новое Село Тульской губ.
Малевки Тульской губ.
Корсунь Киевской губ.
Яковлевка Тульской губ.
Хомяковка Тульской губ.
Образцовка Тульской губ.
Сырово Московской губ.
Чернава Рязанской губ.
Аткарск Саратовской губ.
Высоцкое Тульской губ.
Понарино Тульской губ.
Сергиевское Тульской губ.
Сергиево на Птани Тульской губ.
Шаблыкино Орловской губ.
Щелково Московской губ.
Епифань Тульской губ.
Епифанский уезд Тульской губ.
Каменка Тульской губ.
Троицкие Выселки Рязанской губ.
Троицкое Московской губ.
Папороцко-Островская волость Новгородской губ.
Бакумовка Полтавской губ.
Хомутец Полтавской губ.
Пушкино Московской губ.
Новое Московской губ.
Домнино Костромской губ.
Новоселки Орловской губ. (Козюлькино)
Березовка Тульской губ.
Березов Тобольской губ.
Малоярославец Калужской губ. — 
Никольско-Вяземское Тульской губ.
Никольское на Птани Тульской губ.
Никольское-Горушки (Обольяново) Московской губ.
Славянская мыза Петербургской губ.
Сигнах Тифлисской губ.
Казначеевка ТУЛЬСКОЙ губ.
Хомутово Тульской губ.
Цыгановка Тульской губ.
Михайлов Брод Тульской губ.
Головинские выселки Тульской губ.
Семенов Нижегородской губ.
Сергеевка Самарской губ.
Чигирин Киевской губ.
Ковно Виленской губ.
Моршанск Тамбовской губ.
Паново Казанской губ.
Саломасово Тульской губ.
Татьяновка Тульской губ.
Теплое Рязанской губ.
Мясновка Самарской губ.
Лапотково Тульской губ.
Шевелино Тверской губ.
Новая Колпна Тульской губ.
Таптыково Тульской губ.
Гриневка Тульской губ.
Каменка Московской губ.
Калязин Тверской губ.
Кульмановка Самарской губ.
Себино Тульской губ.
Орша Могилевской губ.
Сороки Бессарабской губ.
Сороковетово Калужской губ.
Сосенские Постоялые дворы Калужской губ.
Дубовка Саратовской губ.
Серпухов Московской губ.
Серюковка Тульской губ.
Кунгур Пермской губ.
Чермошня Тульской губ.
Чермошенская волость Тульской губ.
Житово Тульской губ.
Белоозеро Новгородской губ.
Буково Рязанской губ.
