Батый
Паскевич Эриванский Иван Федорович
Пастер Луи
Песталоцци Иоганн Генрих
Петр I Алексеевич
Петр II Алексеевич
Петр III Федорович
Пий VII, папа
Пии VIII, папа
Пий X (Сарто Джузеппе), папа
Победоносцев Константин Петрович
Пугачев Емельян Иванович
Ришелье Арман Жан дю Плесси
Робеспьер Максимильен Мари Исидор
Рузвельт Теодор
Рюрик
Смит Адам
Бернадот Жан Батист Жюль
Соловьев Сергей Михайлович
Сперанский Михаил Михайлович
Столыпин Петр Аркадьевич
Суворов Александр Васильевич
Сусанин Иван
Тимирязев Климент Аркадьевич
Трувор, князь
Ушаков Федор Андреевич
Ушинский Константин Дмитриевич
Бирон Эрнест Иоганн
Фердинанд Карл Иосиф
Фердинанд I, болгарский король
Фердинанд IV, король неаполитанский
Фердинанд VII, король испанский
Бисмарк-Шёнгаузен Отто Леопольд Эдуард
Фотий, патриарх константинопольский
Франц II Иосиф-Карл, император германский (с 1806 г. — император австрийский Франц I)
Фридрих Август, принц Саксонский
Фридрих Вильгельм II
Фридрих Вильгельм, герцог Курляндский
Фридрих Вильгельм III, прусский король
Фридрих II, прусский король
Фридрих III, германский императо
Халтурин Степан Николаевич
Хмельницкий Богдан Михайлович
Чингис-хан
Шамиль
Юстиниан, император византийский,
Ярослав Мудрый
Бодуэн де Куртенэ Ян Игнатий (Иван Александрович)
Бонапарты
Борис Годунов
Бруно Джордано
Брусилов Сергей Львович
Брюль Леви
Брюс Яков Вилимович
Булгаков Сергей Николаевич
Александр II Николаевич
Александр III Александрович
Буслаев Федор Иванович
Александр Невский
Веллингтон Артур Уэлсли
Вернадский Владимир Иванович
Веселовский Александр Николаевич
Виардо-Гарсиа Мишель Полина
Вильгельм II
Вильна (Вильно)
Виндзорский замок
Виннипег (Канада)
Винница
Галилей Галилео
Гарибальди Джузеппе
Георг II (Людовик)
Георг III
Георг IV
Альбрехт I
Григорий VII, папа
Григорий Богослов
Григорий I Великий или Двоеслов
Грот Яков Карлович
Гумбольдт Александр Фридрих Вильгельм
Гус Ян
Дантон Жорж
Дарвин Чарльз Роберт
Джефферсон Томас
Достоевская Анна Григорьевна
Дягилев Сергей Павлович
Екатерина I
Екатерина II
Анна Иоанновна, императрица
Аннибалы (Ганнибалы), карфагенские полководцы
Иоанн III Васильевич
Иоанн IV Васильевич Грозный
Калигула Гай Цезарь
Калиостро Алессандро (Джузеппе Бальзамо)
Карл I Великий, франкский король
Карл I Стюарт
Карл II Стюарт
Карл V, римский император
Карл VII, французский король
Карл IX, французский король
Карл X Филипп, французский король
Карл XII, шведский король
Карл XIII, шведский король
Аввакум (Абакум) Петрович
Кий
Кир Старший
Клеопатра (правительница Египта)
Климент Александрийский (Тит Флавий)
Август III, король польский
Колумб Христофор
Корш Евгений Федорович
Кочубей
Архимед
Кромвель Оливер
Кропоткин Петр Алексеевич
Аскольд
Курбский Андрей Михайлович
Аттила
Кюстин Адольф де (Custine)
Афанасьев Александр Николаевич
Лев XII, папа римский
Ленин Владимир Ильич
Леонид, спартанский царь
Луначарский Анатолий Васильевич
Людвиг II (баварский король)
Людовик II Оттон Фридрих Вильгельм
Людовик IX Святой
Людовик XI Валуа
Людовик XIII
Людовик XIV
Людовик XV
Людовик XVI
Людовик XVII
Людовик XVIII
Лютер Мартин
Мазарини
Мазепа Иван Степанович
Мазон Андре
Макиавелли Никколо ди Бернардо
Багратион Петр Иванович
Малюта Скуратов (Вельский Григорий Лукьянович)
Мамай
Марат Жан Поль
Мария-Антуанетта
Меншиков Александр Данилович (Алексашка)
Миклухо-Маклай Николай Николаевич
Минин Кузьма Захарьев-Сухорук
Мирабо Оноре Габриэль Рикетти де
Монгольфье, братья
Мусин-Пушкин Алексей Иванович
Мюрат Иоахим
Набоков Дмитрий Николаевич
Наполеон I Бонапарт
Наполеон II Франсуа Шарль Жозеф
Наполеон III (Луи Наполеон Бонапарт)
Нахимов Павел Степанович
Нерон Клавдий Цезарь
Нессельроде Карл Васильевич
Барклай де Толли Михаил Богданович
Николай I Павлович
Ньютон Исаак
Пущин Иван Иванович
Прокудин-Горский Сергей Михайлович
Муравьев Александр Николаевич
Николай II Александрович
Апраксин Федор Матвеевич
Боткин Сергей Петрович
Завалишин Дмитрий Иринархович
Горчаков Александр Михайлович
Уваров Сергей Семенович
Коперник Николай
Татищев Василий Никитич
Струве Петр Бернгардович
