Ор, гора (Палестина)
Бештау, гора
Жаманский Зуб, гора
Индейская гора (Кавказ)
Зеленая гора (Крым)
Камчатская, гора
Анчимеер, гора
Поклонная гора (под Москвой)
Монблан
Афон
