Готье Теофиль
Гюисманс Шарль (Huysmans)
Джонсон Бенжамин Бен
Шекер Ш. См. Шеркер Ш. Шекспир Вильям
Стерн Лоуренс
Фонтенель
Кольридж Сэмуель Тейлор
Квинси Томас
Мопассан Анри Рене Альбер Ги де
Мор Томас
Бальзак Оноре
Мольер (Жан Батист Поклен)
Мицкевич Адам
Метерлинк Морис
Местр Жозеф Мари де (Maistre)
Мериме Проспер
Марло Христофер
Малларме Стефан
Малерб Эдмонд (Malheerbe)
Лопе де Вега Феликс
Лессинг Готхольд Эфраим
Леконт де Лиль Шарль
Ларошфуко Франсуа
Лафонтен Жан
Купер Фенимор
Киплинг Редьярд
Ибсен Генрик
Золя Эмиль (Zola)
Захер-Мазох Леопольд
Жид Андре
Жорж Санд
Дюма Александр, отец
Дюма Александр, сын
Додэ Альфонс
Диккенс Чарльз
Джером Клапка Джером
Джемс Генри (James), старший
Дефо Даниель
Данте Алигьери
Гюго Виктор (Hugo)
Гримм, братья
Гримм Якоб
Оссиан
Перро Шарль
Рабле Франсуа
Рильке Райнер Мария
Саади
Сакс Ганс, поэт
Свифт Джонатан
Беранже Пьер Жан
Сенкевич Генрик
Сент-Бев Шарль Огюст (Sainte-Beuve)
Сервантес Мигуэль Сааведра
Словацкий Юлий
Стендаль (Анри Бейль)
Стивенсон Роберт (Stevensen)
Сю Эжен (Sue)
Тассо Торквато (Tasso)
Теккерей Вильям Мекспис
Торо Генри Дэвид (Thoreau)
Уайльд Оскар
Фенелон Франсуа де Салиньяк де ла Мот
Фирдоуси (Абиль Касим Тусский)
Флобер Гюстав
Франс Анатоль
Хайям Омар ибн Ибрахим Нишапурский
Блэк Вильям
Шатобриан Франсуа Рене де
Шелли Перси Биши
Шлегель Август Вильгельм
Шлегель Фридрих
Шлейермахер Фридрих
Шолом-Алейхем (Соломон Наумович Рабинович)
Шоу Бернард (Шо, Shaw)
Эккерман Иоганн (Eckermann)
Эразм Роттердамский
Бодлер Шарль Пьер
Боккаччо Джованни
Бомарше Пьер Огюстен Карон
Бронте Анна
Бронте Шарлотта
Бронте Эмилия
Буало Депрео Николя
Бюхнер Карл Людвиг
Верлен Поль
Верн Жюль
Верхарн Эмиль (Verhaeren, Вергерен)
Виленская губерния
Гейне Генрих
Гете Иоганн Вольфганг
Гофман Эрнст Теодор Амедей
