Пушкин Александр Сергеевич
Толстой Лев Николаевич
Тургенев Иван Сергеевич
Фет Афанасий Афанасьевич (Шеншин)
Огарев Николай Платонович
Одоевский Александр Иванович (декабрист)
Батюшков Константин Николаевич
Писарев Дмитрий Иванович
Писемский Алексей Феофилактович
Погодин Михаил Петрович — 17; 256;
Белинский Виссарион Григорьевич
Белый Андрей (псевдоним Бориса Николаевича Бугаева), «Сумерки»
Рылеев Федор Андреевич
Сумароков Александр Петрович
Сухово-Кобылин Александр Васильевич
Тютчев Федор Иванович
Блаватская Елена Петровна
Фонвизин Денис Иванович
Хвостов Дмитрий Иванович
Хемницер Иван Иванович
Чернышевский Николай Гаврилович
Шишков Александр Семенович
Аксаков Иван Сергеевич
Аксаков Константин Сергеевич
Аксаков Сергей Тимофеевич
Боратынский Евгений Абрамович
Аксаковы
Аксаковы Сергей Тимофеевич и Иван Сергеевич
Брюсов Валерий Яковлевич
Булгарин Фаддей Венедиктович
Веневитинов Михаил Алексеевич
Воейков Дмитрий Иванович
Вяземский Петр Андреевич
Вяземский, кн.
Герцен Александр Иванович
Гнедич Николай Иванович
Гончаров Иван Александрович
Грибоедов Александр Сергеевич
Григорьев Аполлон Александрович
Давыдов Денис Васильевич
Державин Гавриил Романович
Андреев Леонид Николаевич
Добролюбов Николай Александрович
Достоевский Федор Михайлович
Карамзин Николай Михайлович
Козьма Прутков
Крылов Иван Андреевич
Куприн Александр Иванович
Кюхельбекер Вильгельм Карлович
Лермонтов Михаил Юрьевич
Мережковский Дмитрий Сергеевич
Мерзляков Алексей Федорович
Надсон Семен Яковлевич
Некрасов Николай Алексеевич
Нелединский-Мелецкий Юрий Александрович
Новиков Николай Иванович
Майков Аполлон Александрович
Майков Аполлон Николаевич
Каменский Василий Егорович
Загоскин Михаил Николаевич
Языков Николай Михайлович
Марлинский (Бестужев Александр Александрович)
