Ге Николай Николаевич, художник
Пастернак Леонид Осипович
Бах Иоганн Себастиан
Ренуар Пьер Огюст
Репин Илья Ефимович
Рубенс Петер Пауль
Берлиоз Гектор
Суриков Василий Иванович
Тернер Вильям (Turner)
Бетховен Людвиг ван
Тициан Вечеллио
Чайковский Петр Ильич
Шопен Фредерик
Штраус Рихард
Ботичелли Сандро
Брюллов Карл Павлович
Вагнер Рихард
Веласкез Диего Родригес
Верди Джузеппе
Гайдн Франц Иосиф (Гейден)
Гендель Георг Фридрих
Григ Эдвард
Гуно Шарль Франсуа
Делакруа Эжен
Дорэ Луи Кристофор Поль Гюстав
Крамской Иван Николаевич
