Олерон (Оіегоп), остров
Олонецкая губерния (край)
Олонецкий уезд
Огайо (США)
Оренбургский край
Памир
Омская губерния
Остзейский край
Пензенская губерния
Пенсильвания (США)
Пермская губерния
Полтавская губерния
Псковская губерния
Рязанская губерния
Самарская губерния
Саратовская губерния
Смоленская губерния
Симбирская губерния
Ставропольская губерния
Тамбовская губерния
Тульская губерния
Томская губерния
Тобольская губерния
Тифлисская губерния
Тверская губерния
Херсонская губерния
Харьковская губерния
Уфимская губерния
Черниговская губерния
Эриванская губерния
Вологодская губерния
Владимирская губерния
Витебская губерния
Воронежская губерния
Гродненская губерния
Вятская губерния
Елисаветпольская губерния
Енисейская губерния
Екатеринославская губерния
Калужская губерния
Иркутская губерния
Архангельская губерния
Киевская губерния
Кутаисская губерния
Курская губерния
Новгородская губерния
Нижегородская губерния
Московская губерния
Могилевская губерния
Ольденбургское герцогство
Панамский перешеек
Оненские прииски
Патагония (Аргентина)
Пиренеи
Полинезия
Приамурский край
Прибалтийский край
Приморская область
Пятигорский округ
Саксонская Швейцария
Атлантический океан
Африка
Лотарингия
Мадагаскар
Маврикия
Малороссия
Маньчжурия
Манилья, остров (Филиппинские о-ва)
Балканский полуостров
Балтийское море
Моравия
Месопотамия
Крым
Массачусетс (штат в США)
Рим (Римская империя)
