Мозель
Обь, река
Одер, река
Ока, река
Ориноко (Ореноко), река
Пахра, река
Аргун (Варгунай), река
Сож, река
Амур, река
Дрисса, река
Сура, река
Вагай, река
Хопер, река
Бабасан, река
Сулак, река
Лена, река
Вилия, река
Иртыш, река
Алазань, река
Волхов, река
Альма (Алма), река
Непра, река
Большой Иргиз, река
Тибр, река
Лисковатовка, река
Зааль, река
Лех, река
Зуша, река
Тобол, река
Упа, река
Урал, река
Амазонка, река
Шат, река
Ардон, река
Иллер, река в Баварии
Киржач, река
Дон, река
Терек, река
Миссисипи, река
Уршак, река
Гольдбах, река (Моравия)
Нева, река
Кара, река
Моча, река
Зульцбах, река (Германия)
Вазуза, река
Судома, река
Бузулук, река
Стерля, река
Чусовая, река
Инн, река
Буг, река
Мичик (Мечик), река
Траун, река
Белая, река
Рона, река
Бельбек, река
Рошни, река (Индия)
Тура, река
Ганг, река
Морава, река
Энс (Эннс), река
Кама, река
Буйнак, река
Мерейка, река
Серебряная, река
Яуза, река
Мёша, река
Медведица, река
Жаровня, река
Фонтанка, река
Ловоть, река
Камелик, река
Черная, река
Тананык, река
Колоча, река
Нотора, река
Сетунь, река
Березина, река
Сена, река
Москва-река
Мойка, речка
Неглинная, речка
Литава, река (Моравия)
Ясенка, речка
Валуйка, речка
Воронка, речка
Ворона, речка
Война, речка
Каменка, речка
Кочак, речка
Рейн
