Олдкестль
Ориген
Батавия
Пагано
Паху-Бике
Перуджия (Перуза)
Абаза
Публилий Сирус
Пущин
Пущин Иван Иванович
Пущин Иван Николаевич
Пущин Михаил Иванович
Радонеж
Рандон
Риг
Римский-Корсаков Григорий Александрович
Римский-Корсаков Михаил Михайлович
Римский-Корсаков Николай Андреевич
Римский-Корсаков Николай Сергеевич
Прокудин-Горский Е.
Прокудин-Горский Сергей Михайлович
Ронжев
Рышава
Сиверсы
Синешти
Струве Н.
Струве Петр Бернгардович
Струве Федор Аристович
Судходан
Берсы
Танеев Александр Сергеевич
Танеев Сергей Александрович
Танеев Сергей Иванович
Татищев Александр Иванович
Бессонов Петр Алексеевич
Татищев Алексей Данилович
Татищев Афанасий Данилович
Татищев Василий Никитич
Татищев Дмитрий Николаевич
Татищев Иван Иванович
Татищев Иван Иванович (почт-директор)
Татищев Сергей Сергеевич
Татищев Сергей Спиридонович
Бестужев Михаил Александрович
Бестужев Николай Александрович
Тимей
Тойнби Арнольд
Торнео
Уваров Александр
Уваров Александр Федорович
Уваров Алексей Сергеевич
Уваров Дмитрий Петрович
Уваров Сергей Семенович
Уваров Сергей Федорович
Уваров Федор Александрович
Уваров Федор Петрович
Фонтенель
Шишкин Александр Николаевич
Шишкин Андрей
Шишкин В. П.
Шишкин Василий
Шишкин Евтихий
Шишкин Иван Иванович
Языков Иван Максимович
Языков Михаил Александрович
Языков Михаил Константинович
Языков Николай Михайлович
Боткин Василий Петрович
Боткин Владимир Петрович
Боткин Дмитрий Петрович
Боткин Михаил Петрович
Боткин Петр Дмитриевич
Боткин Петр Петрович
Боткин Сергей Михайлович
Боткин Сергей Петрович
Боткина Софья Сергеевна
Верещагин Александр Васильевич
Верещагин Василий Васильевич
Верещагин Василий Гаврилович
Глинка Михаил Иванович
Глинка Н. О.
Глинка Сергей Николаевич
Горчаков Александр Николаевич
Горчаков Александр Сергеевич
Готье Теофиль
Гюисманс Шарль (Huysmans)
Дельвиг Александр Антонович
Джонсон Бенжамин Бен
Женевио-Лан
Завалишин Дмитрий Иринархович
Загоскин Михаил Николаевич
Загоскин Сергей Михайлович
Апраксин Александр Иванович
Каменский Василий Егорович
Квинси Томас
Кольридж Джильберт
Кольридж Стефан
Кольридж Сэмуель Тейлор
Майков Аполлон Александрович
Майков Аполлон Николаевич
