Овидий Публий Назон
Одиссей (Улисс)
Петроний
Пифагор
Платон
Плиний Младший
Плиний Гай Секунд Старший
Плотин
Плутарх
Птоломей Клавдий
Сафо
Сенека Луций Анней
Сократ
Солон
Софокл
Спарта
Сципион Публий Корнелий Старший
Тертуллиан Квинт Септимий Флоренс
Тиверий (Тиберий)
Тит Флавий Веспасиан
Цицерон Марк Туллий
Эзоп
Эмпедокл — (I
Эпиктет (Epictet)
Эпикур
Эсхил
Ювенал
Виргилий Марон Публий
Гай Плиний Секунд-старший
Гераклит Эфесский
Геродот
Гиппократ
Гомер
Гораций Флакс Квинт
Демокрит
Демосфен
Демофил
Диоген
Диоклетиан Гай Аврелий
Еврипид
Аполлодор
Калигула Гай Цезарь
Катилина Люций Сергий
Аристотель
Август (Гай Юлий Цезарь Октавиан)
Аристофан
Архимед
Ксенофонт
Лентул Публий
Ливий Тит
Ликург
Луцилий
Марцеллий
Марциан
Менандр
Публилий Сирус
