Паскаль Блез
Платон
Плотин
Руссо Жан Жак
Сковорода Григорий Саввич
Сократ
Соловьев Владимир Сергеевич
Спенсер Герберт
Спиноза Бенедикт (Барух)
Фейербах Людвиг
Фихте Иоганн Готлиб
Франциск Ассизский
Цицерон Марк Туллий
Чаадаев Петр Яковлевич
Шеллинг Фридрих Вильгельм
Шопенгауэр Артур
Эпикур
Эразм Роттердамский
Юм Давид (Hume)
Бэкон Фрэнсис
Гегель Георг Вильгельм Фридрих
Гоббс Томас
Декарт Рене
Дидро Дени
Иоанн Дамаскин
Иоанн Златоуст
Кассирер
Аристотель
Августин Аврелий Блаженный
Конт Огюст
Конфуций
Коперник Николай
