Россия (Русь)
Англия
Палестина
Персия
Перу
Польша
Португалия
Пруссия
Румыния
Бельгия
Саксония
Сардиния
Сербия
Сирия
Соединенные Штаты Америки
Тунис
Турция
Финляндия
Франция
Хорватия
Черногория
Чехия
Швейцария
Швеция
Шотландия
Богемия
Япония — 
Болгария
Бразилия
Британия
Великобритания
Венгрия
Венесуэла
Византия
Алжир
Генуэсская республика
Голландия
Греция
Грузия
Египет
Индия
Ирландия
Исландия
Испания
Ионических островов республика (Республика семи островов)
Италия
Канада
Украина
Аргентина
Авария (Аварское ханство)
Арговия (Argovie, Швейцария)
Карс
Карсская область
Карфаген
Аргунское ущелье
Каспийское море
Китай
Кокандское ханство
Корея
